# Generated by testdata/harfbuzz/scripttags.py. DO NOT EDIT.
#
# The OpenType script tags HarfBuzz's hb_ot_tags_from_script_and_language
# gives a run of each script below in each BCP 47 tag, at most 3, in
# order: the tag, then a tab and the tags separated by '|' for each script.
# A tag that is not printable is written as 0x and eight hex digits.
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# scripts Latn Deva
# cases 1860
	latn	dev3|dev2|deva
hant-latn-64657632-hbsc-en-zh	latn	dev3|dev2|deva
hant-latn-64657632-x-x-u	latn	dev3|dev2|deva
hant-latn-hi-u	latn	dev3|dev2|deva
hant-latn-x-hbot-hant	latn	dev3|dev2|deva
hant-u	latn	dev3|dev2|deva
hant-u-64657632-x	latn	dev3|dev2|deva
hant-u-en-u-64657632-hbsc	latn	dev3|dev2|deva
hant-u-hi-en-x	latn	dev3|dev2|deva
hant-u-x-64657632-a-und	latn	dev3|dev2|deva
hant-und	latn	dev3|dev2|deva
hant-und-64657632-latn-a-hbsclatn	latn	dev3|dev2|deva
hant-und-a	latn	dev3|dev2|deva
hant-und-en-u	latn	dev3|dev2|deva
hant-und-hi	latn	dev3|dev2|deva
hant-und-und-hant	latn	dev3|dev2|deva
hant-x	latn	dev3|dev2|deva
hant-x-64657632-hbscDFLT	DFLT	DFLT
hant-x-hbsclatn-hbscDFLT-u	latn	latn
hant-zh	latn	dev3|dev2|deva
hant-zh-hant	latn	dev3|dev2|deva
hant-zh-hbot-und-hbscab	latn	dev3|dev2|deva
hant-zh-hbot-zh-hbsclatn	latn	dev3|dev2|deva
hbot	latn	dev3|dev2|deva
hbot-64657632	latn	dev3|dev2|deva
hbot-64657632-64657632-hbsclatn-hbscDFLT	latn	dev3|dev2|deva
hbot-64657632-a-a	latn	dev3|dev2|deva
hbot-64657632-en	latn	dev3|dev2|deva
hbot-64657632-hbscdev2-en	latn	dev3|dev2|deva
hbot-64657632-latn-hbot-hbsc-hbotmar	latn	dev3|dev2|deva
hbot-a	latn	dev3|dev2|deva
hbot-a-64657632-en-latn-hbotmar	latn	dev3|dev2|deva
hbot-a-64657632-hbscab	latn	dev3|dev2|deva
hbot-a-a	latn	dev3|dev2|deva
hbot-a-en-hbotmar-hbsclatn-x	latn	dev3|dev2|deva
hbot-a-hbsc-en	latn	dev3|dev2|deva
hbot-en	latn	dev3|dev2|deva
hbot-en-64657632-hbsc	latn	dev3|dev2|deva
hbot-en-a-latn-hi-latn	latn	dev3|dev2|deva
hbot-en-hbscab-hbscdev2	latn	dev3|dev2|deva
hbot-en-hbscdev2-latn	latn	dev3|dev2|deva
hbot-en-hbsclatn-x-hbsc-hbscDFLT	latn	dev3|dev2|deva
hbot-en-hi	latn	dev3|dev2|deva
hbot-en-hi-hbscab	latn	dev3|dev2|deva
hbot-hant-64657632-hbotmar	latn	dev3|dev2|deva
hbot-hant-en-hbotmar-hbscDFLT	latn	dev3|dev2|deva
hbot-hant-hbot-x	latn	dev3|dev2|deva
hbot-hant-hbscab-en	latn	dev3|dev2|deva
hbot-hant-hbscab-hbotmar-hbotmar	latn	dev3|dev2|deva
hbot-hant-hbsclatn-en-64657632-hbot	latn	dev3|dev2|deva
hbot-hant-hbsclatn-latn-hi-hbot	latn	dev3|dev2|deva
hbot-hant-hi	latn	dev3|dev2|deva
hbot-hant-zh	latn	dev3|dev2|deva
hbot-hant-zh-u-u-hbscab	latn	dev3|dev2|deva
hbot-hbot	latn	dev3|dev2|deva
hbot-hbot-hbot-hbsc-hbsclatn	latn	dev3|dev2|deva
hbot-hbot-hbot-u	latn	dev3|dev2|deva
hbot-hbot-hbscDFLT-hbot	latn	dev3|dev2|deva
hbot-hbot-latn-hant-hbotmar	latn	dev3|dev2|deva
hbot-hbot-u-hbscab-hbscdev2-a	latn	dev3|dev2|deva
hbot-hbot-u-hbsclatn	latn	dev3|dev2|deva
hbot-hbotmar	latn	dev3|dev2|deva
hbot-hbotmar-en-hbsclatn-hbotmar	latn	dev3|dev2|deva
hbot-hbotmar-hbot-u-zh-und	latn	dev3|dev2|deva
hbot-hbotmar-hbscdev2-und	latn	dev3|dev2|deva
hbot-hbotmar-hi-hi-en	latn	dev3|dev2|deva
hbot-hbotmar-u	latn	dev3|dev2|deva
hbot-hbotmar-x-en-latn	latn	dev3|dev2|deva
hbot-hbsc-hant	latn	dev3|dev2|deva
hbot-hbsc-hbot-hbotmar-u	latn	dev3|dev2|deva
hbot-hbsc-hbotmar	latn	dev3|dev2|deva
hbot-hbsc-hi-hbotmar-x	latn	dev3|dev2|deva
hbot-hbsc-hi-und	latn	dev3|dev2|deva
hbot-hbscDFLT	latn	dev3|dev2|deva
hbot-hbscDFLT-a-en-hbscDFLT	latn	dev3|dev2|deva
hbot-hbscDFLT-a-hbsc-hbscab	latn	dev3|dev2|deva
hbot-hbscDFLT-hant	latn	dev3|dev2|deva
hbot-hbscDFLT-hant-x	latn	dev3|dev2|deva
hbot-hbscab-64657632-hbscDFLT-hant-hbsc	latn	dev3|dev2|deva
hbot-hbscab-hant-hbscDFLT-64657632-hbscab	latn	dev3|dev2|deva
hbot-hbscab-hbot-hbotmar	latn	dev3|dev2|deva
hbot-hbscab-hbotmar-hbsc	latn	dev3|dev2|deva
hbot-hbscab-hbscab	latn	dev3|dev2|deva
hbot-hbscab-latn-en-hant	latn	dev3|dev2|deva
hbot-hbscab-latn-hbotmar	latn	dev3|dev2|deva
hbot-hbscab-u-hi	latn	dev3|dev2|deva
hbot-hbscab-u-x-en-hbscDFLT	DFLT	DFLT
hbot-hbscab-zh-latn-hbscab	latn	dev3|dev2|deva
hbot-hbscdev2-hbotmar	latn	dev3|dev2|deva
hbot-hbscdev2-hbotmar-hant-zh-hbsclatn	latn	dev3|dev2|deva
hbot-hbscdev2-hbscDFLT-hbotmar	latn	dev3|dev2|deva
hbot-hbscdev2-hbscDFLT-x	latn	dev3|dev2|deva
hbot-hbscdev2-und-und	latn	dev3|dev2|deva
hbot-hbsclatn	latn	dev3|dev2|deva
hbot-hbsclatn-64657632-latn-hbscab	latn	dev3|dev2|deva
hbot-hbsclatn-a-latn-hbscab	latn	dev3|dev2|deva
hbot-hbsclatn-latn-zh-64657632	latn	dev3|dev2|deva
hbot-hi	latn	dev3|dev2|deva
hbot-hi-latn	latn	dev3|dev2|deva
hbot-latn	latn	dev3|dev2|deva
hbot-latn-a-hbsclatn-zh-hbsc	latn	dev3|dev2|deva
hbot-latn-hant-hi	latn	dev3|dev2|deva
hbot-latn-hbscDFLT-hbscDFLT	latn	dev3|dev2|deva
hbot-latn-hbscDFLT-hbscdev2	latn	dev3|dev2|deva
hbot-u	latn	dev3|dev2|deva
hbot-u-64657632-hbscab-hbscdev2	latn	dev3|dev2|deva
hbot-u-hant-hbscDFLT	latn	dev3|dev2|deva
hbot-u-hant-hbscdev2	latn	dev3|dev2|deva
hbot-u-hbot-a-en-hbot	latn	dev3|dev2|deva
hbot-u-hbotmar-a-x-hbscab	ab  	ab  
hbot-u-hbscDFLT-en-hbscDFLT-latn	latn	dev3|dev2|deva
hbot-u-hbscab-a-64657632	latn	dev3|dev2|deva
hbot-u-hbsclatn	latn	dev3|dev2|deva
hbot-u-latn-a	latn	dev3|dev2|deva
hbot-u-und-hbscab	latn	dev3|dev2|deva
hbot-u-zh-latn	latn	dev3|dev2|deva
hbot-und	latn	dev3|dev2|deva
hbot-und-und-und	latn	dev3|dev2|deva
hbot-und-zh-x-a	latn	dev3|dev2|deva
hbot-x	latn	dev3|dev2|deva
hbot-x-64657632-latn	latn	dev3|dev2|deva
hbot-x-a-x-hi-hbot	latn	dev3|dev2|deva
hbot-x-hant-zh-hbot-64657632	latn	dev3|dev2|deva
hbot-x-hbot-hbsclatn-hbscDFLT-und	latn	latn
hbot-x-hbsclatn-hbsc-hbscdev2-hbscdev2	latn	latn
hbot-x-zh-hbot-a	latn	dev3|dev2|deva
hbot-zh	latn	dev3|dev2|deva
hbot-zh-a-hbscDFLT-u	latn	dev3|dev2|deva
hbot-zh-en-64657632-a	latn	dev3|dev2|deva
hbot-zh-hbotmar	latn	dev3|dev2|deva
hbot-zh-hbscDFLT-hbscDFLT	latn	dev3|dev2|deva
hbot-zh-latn	latn	dev3|dev2|deva
hbotmar	latn	dev3|dev2|deva
hbotmar-64657632	latn	dev3|dev2|deva
hbotmar-64657632-hbscab-hbsclatn-hbotmar	latn	dev3|dev2|deva
hbotmar-64657632-hbsclatn-u-x-u	latn	dev3|dev2|deva
hbotmar-64657632-und-64657632-hant-x	latn	dev3|dev2|deva
hbotmar-a	latn	dev3|dev2|deva
hbotmar-a-en-hbsc	latn	dev3|dev2|deva
hbotmar-a-hbscDFLT-hant	latn	dev3|dev2|deva
hbotmar-a-hi	latn	dev3|dev2|deva
hbotmar-en	latn	dev3|dev2|deva
hbotmar-en-a-a	latn	dev3|dev2|deva
hbotmar-en-hbot-hbscab-en	latn	dev3|dev2|deva
hbotmar-en-hbsclatn-zh-hbsc	latn	dev3|dev2|deva
hbotmar-hant	latn	dev3|dev2|deva
hbotmar-hant-hbot-hant	latn	dev3|dev2|deva
hbotmar-hant-hbscab-hbscDFLT	latn	dev3|dev2|deva
hbotmar-hant-und-zh-a-u	latn	dev3|dev2|deva
hbotmar-hant-zh-hbotmar	latn	dev3|dev2|deva
hbotmar-hbot	latn	dev3|dev2|deva
hbotmar-hbot-a-zh-hbotmar	latn	dev3|dev2|deva
hbotmar-hbot-en-en-hbotmar	latn	dev3|dev2|deva
hbotmar-hbot-en-u-hbot-hbotmar	latn	dev3|dev2|deva
hbotmar-hbot-latn	latn	dev3|dev2|deva
hbotmar-hbotmar-64657632-hbscab-64657632-en	latn	dev3|dev2|deva
hbotmar-hbotmar-en-latn-hbscab	latn	dev3|dev2|deva
hbotmar-hbotmar-hant-hant-hant-und	latn	dev3|dev2|deva
hbotmar-hbotmar-hbscDFLT-hi-latn	latn	dev3|dev2|deva
hbotmar-hbotmar-zh	latn	dev3|dev2|deva
hbotmar-hbsc	latn	dev3|dev2|deva
hbotmar-hbsc-64657632	latn	dev3|dev2|deva
hbotmar-hbsc-en-zh-hbot	latn	dev3|dev2|deva
hbotmar-hbsc-hbotmar-und	latn	dev3|dev2|deva
hbotmar-hbsc-hbsc-hbsclatn-zh-x	latn	dev3|dev2|deva
hbotmar-hbsc-hbscab	latn	dev3|dev2|deva
hbotmar-hbsc-zh-a-zh-hbscdev2	latn	dev3|dev2|deva
hbotmar-hbsc-zh-u	latn	dev3|dev2|deva
hbotmar-hbscDFLT	latn	dev3|dev2|deva
hbotmar-hbscDFLT-a-latn	latn	dev3|dev2|deva
hbotmar-hbscDFLT-hbscab	latn	dev3|dev2|deva
hbotmar-hbscDFLT-hbscdev2	latn	dev3|dev2|deva
hbotmar-hbscDFLT-hi-latn-hbsc-hbotmar	latn	dev3|dev2|deva
hbotmar-hbscab-en-x-latn	latn	dev3|dev2|deva
hbotmar-hbscab-hant-hbsc-hbscdev2	latn	dev3|dev2|deva
hbotmar-hbscab-hbot-x-hbsc	latn	dev3|dev2|deva
hbotmar-hbscab-hbsclatn-en-64657632-a	latn	dev3|dev2|deva
hbotmar-hbscab-latn-hbscab-x-hbot	latn	dev3|dev2|deva
hbotmar-hbscdev2	latn	dev3|dev2|deva
hbotmar-hbscdev2-64657632	latn	dev3|dev2|deva
hbotmar-hbscdev2-hant-zh	latn	dev3|dev2|deva
hbotmar-hbscdev2-hbot	latn	dev3|dev2|deva
hbotmar-hbscdev2-u-hbsc	latn	dev3|dev2|deva
hbotmar-hbsclatn-64657632-hbscDFLT	latn	dev3|dev2|deva
hbotmar-hbsclatn-en-hbotmar	latn	dev3|dev2|deva
hbotmar-hbsclatn-hbot-u-latn-hant	latn	dev3|dev2|deva
hbotmar-hbsclatn-hbsc-hbotmar-64657632	latn	dev3|dev2|deva
hbotmar-hbsclatn-hbscdev2-und-hbsclatn	latn	dev3|dev2|deva
hbotmar-hbsclatn-latn-hbsc	latn	dev3|dev2|deva
hbotmar-hbsclatn-latn-hi-hi	latn	dev3|dev2|deva
hbotmar-hbsclatn-x	latn	dev3|dev2|deva
hbotmar-hi	latn	dev3|dev2|deva
hbotmar-hi-hbot-en-hbot	latn	dev3|dev2|deva
hbotmar-hi-hbscdev2	latn	dev3|dev2|deva
hbotmar-hi-hbsclatn-latn-hbscab-x	latn	dev3|dev2|deva
hbotmar-hi-latn	latn	dev3|dev2|deva
hbotmar-hi-latn-hbscab-x	latn	dev3|dev2|deva
hbotmar-latn	latn	dev3|dev2|deva
hbotmar-latn-64657632	latn	dev3|dev2|deva
hbotmar-latn-en-hant-hi-a	latn	dev3|dev2|deva
hbotmar-latn-en-zh-hant	latn	dev3|dev2|deva
hbotmar-latn-hbsc	latn	dev3|dev2|deva
hbotmar-latn-u-latn-hbscab-hbsc	latn	dev3|dev2|deva
hbotmar-latn-x	latn	dev3|dev2|deva
hbotmar-u	latn	dev3|dev2|deva
hbotmar-u-en	latn	dev3|dev2|deva
hbotmar-u-hant-hbotmar-hbotmar-hbscdev2	latn	dev3|dev2|deva
hbotmar-u-latn-hi	latn	dev3|dev2|deva
hbotmar-und-64657632	latn	dev3|dev2|deva
hbotmar-und-x-x	latn	dev3|dev2|deva
hbotmar-x	latn	dev3|dev2|deva
hbotmar-x-64657632	latn	dev3|dev2|deva
hbotmar-x-64657632-latn-hant	latn	dev3|dev2|deva
hbotmar-x-en	latn	dev3|dev2|deva
hbotmar-x-hbot	latn	dev3|dev2|deva
hbotmar-x-u-hant-hbscab	ab  	ab  
hbotmar-x-u-zh-hbscdev2-64657632	dev2	dev2
hbotmar-x-und-latn-64657632-hbscab	ab  	ab  
hbotmar-x-und-zh	latn	dev3|dev2|deva
hbotmar-zh	latn	dev3|dev2|deva
hbotmar-zh-hbscDFLT	latn	dev3|dev2|deva
hbotmar-zh-hbscab-x-x	latn	dev3|dev2|deva
hbotmar-zh-hbscdev2-hant-u-u	latn	dev3|dev2|deva
hbotmar-zh-u-hbsc	latn	dev3|dev2|deva
hbotmar-zh-x-hbscDFLT-en	DFLT	DFLT
hbsc	latn	dev3|dev2|deva
hbsc-64657632	latn	dev3|dev2|deva
hbsc-64657632-hant-hant	latn	dev3|dev2|deva
hbsc-64657632-hbotmar-64657632	latn	dev3|dev2|deva
hbsc-64657632-hbscdev2-hant	latn	dev3|dev2|deva
hbsc-64657632-hbsclatn-u	latn	dev3|dev2|deva
hbsc-a-hbotmar	latn	dev3|dev2|deva
hbsc-a-hbscdev2	latn	dev3|dev2|deva
hbsc-a-u-und	latn	dev3|dev2|deva
hbsc-a-und-hbotmar-hbsclatn	latn	dev3|dev2|deva
hbsc-a-x-hbsclatn-u-hbscab	latn	latn
hbsc-a-x-x-64657632-u	latn	dev3|dev2|deva
hbsc-en	latn	dev3|dev2|deva
hbsc-en-hbscDFLT	latn	dev3|dev2|deva
hbsc-en-hbscdev2-a	latn	dev3|dev2|deva
hbsc-en-hi	latn	dev3|dev2|deva
hbsc-en-und-hant-x	latn	dev3|dev2|deva
hbsc-hant	latn	dev3|dev2|deva
hbsc-hant-hbsc	latn	dev3|dev2|deva
hbsc-hant-hbscDFLT-hbscab	latn	dev3|dev2|deva
hbsc-hbot	latn	dev3|dev2|deva
hbsc-hbot-hant-hbsclatn-hbsc-zh	latn	dev3|dev2|deva
hbsc-hbot-u	latn	dev3|dev2|deva
hbsc-hbot-und-u-und-zh	latn	dev3|dev2|deva
hbsc-hbotmar-hbsc	latn	dev3|dev2|deva
hbsc-hbotmar-hi	latn	dev3|dev2|deva
hbsc-hbsc-a-hi-hbsc-64657632	latn	dev3|dev2|deva
hbsc-hbsc-hant	latn	dev3|dev2|deva
hbsc-hbsc-hbot-en-hi-hbot	latn	dev3|dev2|deva
hbsc-hbsc-hbotmar	latn	dev3|dev2|deva
hbsc-hbsc-hbscDFLT-hbscab-64657632-hant	latn	dev3|dev2|deva
hbsc-hbscDFLT-hbsc	latn	dev3|dev2|deva
hbsc-hbscDFLT-hbscdev2-hbscDFLT-hbscDFLT-u	latn	dev3|dev2|deva
hbsc-hbscDFLT-u	latn	dev3|dev2|deva
hbsc-hbscDFLT-u-hbscdev2	latn	dev3|dev2|deva
hbsc-hbscDFLT-u-hbsclatn-hbot-64657632	latn	dev3|dev2|deva
hbsc-hbscab	latn	dev3|dev2|deva
hbsc-hbscab-hbsc-u	latn	dev3|dev2|deva
hbsc-hbscab-hbscab	latn	dev3|dev2|deva
hbsc-hbscdev2	latn	dev3|dev2|deva
hbsc-hbscdev2-a-hbscdev2-64657632	latn	dev3|dev2|deva
hbsc-hbscdev2-hbot-u-und-hi	latn	dev3|dev2|deva
hbsc-hbscdev2-hbsc-u-hbot-latn	latn	dev3|dev2|deva
hbsc-hbscdev2-x	latn	dev3|dev2|deva
hbsc-hbsclatn	latn	dev3|dev2|deva
hbsc-hbsclatn-64657632	latn	dev3|dev2|deva
hbsc-hbsclatn-hbotmar-x-hbscdev2	dev2	dev2
hbsc-hbsclatn-und-a	latn	dev3|dev2|deva
hbsc-hbsclatn-zh-latn-hi-latn	latn	dev3|dev2|deva
hbsc-hi-hbsc-64657632	latn	dev3|dev2|deva
hbsc-hi-hbscDFLT	latn	dev3|dev2|deva
hbsc-hi-zh-hbsc-und	latn	dev3|dev2|deva
hbsc-latn	latn	dev3|dev2|deva
hbsc-latn-en-hant	latn	dev3|dev2|deva
hbsc-latn-hbot	latn	dev3|dev2|deva
hbsc-latn-hbotmar-hant-hbsc-hbscab	latn	dev3|dev2|deva
hbsc-latn-hbsclatn-hbsc-hbscdev2-a	latn	dev3|dev2|deva
hbsc-latn-x-hbot	latn	dev3|dev2|deva
hbsc-u	latn	dev3|dev2|deva
hbsc-u-hbot	latn	dev3|dev2|deva
hbsc-u-hbotmar	latn	dev3|dev2|deva
hbsc-u-hbotmar-hbsclatn-hi	latn	dev3|dev2|deva
hbsc-u-u-hbotmar-a	latn	dev3|dev2|deva
hbsc-u-und-hbsc-x-64657632	latn	dev3|dev2|deva
hbsc-u-und-zh	latn	dev3|dev2|deva
hbsc-und-hant-64657632	latn	dev3|dev2|deva
hbsc-und-hant-a-hi-hbot	latn	dev3|dev2|deva
hbsc-und-hbot	latn	dev3|dev2|deva
hbsc-und-hbot-u	latn	dev3|dev2|deva
hbsc-und-hi	latn	dev3|dev2|deva
hbsc-und-hi-hbscDFLT-hbsc-hant	latn	dev3|dev2|deva
hbsc-und-hi-hi-u-hbotmar	latn	dev3|dev2|deva
hbsc-x	latn	dev3|dev2|deva
hbsc-x-a-latn-zh-hbscDFLT	DFLT	DFLT
hbsc-x-hbot	latn	dev3|dev2|deva
hbsc-x-hbotmar-hant	latn	dev3|dev2|deva
hbsc-zh	latn	dev3|dev2|deva
hbsc-zh-64657632-hbsclatn-hbscab-x	latn	dev3|dev2|deva
hbsc-zh-en-zh-hbsc	latn	dev3|dev2|deva
hbsc-zh-hbsc-u	latn	dev3|dev2|deva
hbsc-zh-hbsc-x-zh-hbscDFLT	DFLT	DFLT
hbsc-zh-hbscab-x-und	latn	dev3|dev2|deva
hbsc-zh-hbscdev2	latn	dev3|dev2|deva
hbsc-zh-x-hbot	latn	dev3|dev2|deva
hbsc-zh-zh	latn	dev3|dev2|deva
hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-64657632	latn	dev3|dev2|deva
hbscDFLT-64657632-x-hbscDFLT-latn-zh	DFLT	DFLT
hbscDFLT-a	latn	dev3|dev2|deva
hbscDFLT-a-hbot	latn	dev3|dev2|deva
hbscDFLT-a-hbscab-latn-hbotmar	latn	dev3|dev2|deva
hbscDFLT-a-hbscdev2-u-hbot-hbotmar	latn	dev3|dev2|deva
hbscDFLT-a-hbsclatn	latn	dev3|dev2|deva
hbscDFLT-a-hi-hant-hbsc-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-a-und-hbsclatn-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-en	latn	dev3|dev2|deva
hbscDFLT-en-hbotmar-hbsclatn	latn	dev3|dev2|deva
hbscDFLT-en-latn-hbscdev2-hbscab-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-hant	latn	dev3|dev2|deva
hbscDFLT-hant-a-hbot	latn	dev3|dev2|deva
hbscDFLT-hant-en-hbscab-x	latn	dev3|dev2|deva
hbscDFLT-hant-hbotmar	latn	dev3|dev2|deva
hbscDFLT-hant-latn-hbsc	latn	dev3|dev2|deva
hbscDFLT-hant-latn-zh-hbscdev2-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-hant-und-hant	latn	dev3|dev2|deva
hbscDFLT-hant-x-hi-64657632	latn	dev3|dev2|deva
hbscDFLT-hant-x-u-hi-und	latn	dev3|dev2|deva
hbscDFLT-hant-zh-hant-hbsclatn-hbsclatn	latn	dev3|dev2|deva
hbscDFLT-hbot	latn	dev3|dev2|deva
hbscDFLT-hbot-en	latn	dev3|dev2|deva
hbscDFLT-hbot-zh-zh-u-u	latn	dev3|dev2|deva
hbscDFLT-hbotmar-64657632	latn	dev3|dev2|deva
hbscDFLT-hbotmar-u-zh	latn	dev3|dev2|deva
hbscDFLT-hbotmar-x	latn	dev3|dev2|deva
hbscDFLT-hbsc	latn	dev3|dev2|deva
hbscDFLT-hbsc-hbot-hbsclatn-en	latn	dev3|dev2|deva
hbscDFLT-hbsc-hbot-hbsclatn-hbscab-a	latn	dev3|dev2|deva
hbscDFLT-hbsc-hbscdev2	latn	dev3|dev2|deva
hbscDFLT-hbsc-hi-hbscab	latn	dev3|dev2|deva
hbscDFLT-hbsc-u-a-hi	latn	dev3|dev2|deva
hbscDFLT-hbsc-x-zh	latn	dev3|dev2|deva
hbscDFLT-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-hbscDFLT-a-a	latn	dev3|dev2|deva
hbscDFLT-hbscDFLT-x-hbsclatn	latn	latn
hbscDFLT-hbscab	latn	dev3|dev2|deva
hbscDFLT-hbscab-hant-hbscab-zh	latn	dev3|dev2|deva
hbscDFLT-hbscab-hbscab-zh-hbscab-u	latn	dev3|dev2|deva
hbscDFLT-hbscab-und-hbscab	latn	dev3|dev2|deva
hbscDFLT-hbscab-zh-hant	latn	dev3|dev2|deva
hbscDFLT-hbscdev2-64657632-hi	latn	dev3|dev2|deva
hbscDFLT-hbscdev2-hbscdev2-latn	latn	dev3|dev2|deva
hbscDFLT-hbscdev2-hi-hbscdev2-zh-latn	latn	dev3|dev2|deva
hbscDFLT-hbsclatn-hbotmar-zh-64657632	latn	dev3|dev2|deva
hbscDFLT-hbsclatn-zh-hi-zh-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-hi-hbot-hbsc-hbscab	latn	dev3|dev2|deva
hbscDFLT-hi-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-hi-hbscDFLT-hbscdev2	latn	dev3|dev2|deva
hbscDFLT-hi-hbscDFLT-und-latn	latn	dev3|dev2|deva
hbscDFLT-hi-hi-hbscab-hbscdev2	latn	dev3|dev2|deva
hbscDFLT-hi-u	latn	dev3|dev2|deva
hbscDFLT-latn-64657632-latn	latn	dev3|dev2|deva
hbscDFLT-latn-hbotmar-hbotmar-a	latn	dev3|dev2|deva
hbscDFLT-latn-hbsclatn-hbotmar	latn	dev3|dev2|deva
hbscDFLT-latn-latn	latn	dev3|dev2|deva
hbscDFLT-u-en-a	latn	dev3|dev2|deva
hbscDFLT-u-hant-hbot-hbscab-en	latn	dev3|dev2|deva
hbscDFLT-u-hant-hbsc	latn	dev3|dev2|deva
hbscDFLT-u-hbscDFLT	latn	dev3|dev2|deva
hbscDFLT-u-u-hbsc-hbot	latn	dev3|dev2|deva
hbscDFLT-und-64657632-hbot-hbotmar-hbsclatn	latn	dev3|dev2|deva
hbscDFLT-und-hbscDFLT-latn-en	latn	dev3|dev2|deva
hbscDFLT-und-hbsclatn-a-und	latn	dev3|dev2|deva
hbscDFLT-und-und	latn	dev3|dev2|deva
hbscDFLT-und-x-en-a	latn	dev3|dev2|deva
hbscDFLT-und-x-hant-hbscab	ab  	ab  
hbscDFLT-x-a	latn	dev3|dev2|deva
hbscDFLT-x-en-u	latn	dev3|dev2|deva
hbscDFLT-x-hant-latn	latn	dev3|dev2|deva
hbscDFLT-x-hbsc	latn	dev3|dev2|deva
hbscDFLT-x-hbscab	ab  	ab  
hbscDFLT-x-hbscdev2	dev2	dev2
hbscDFLT-x-hi-hbsc-hant	latn	dev3|dev2|deva
hbscDFLT-x-latn-en	latn	dev3|dev2|deva
hbscDFLT-x-latn-latn-hbsclatn	latn	latn
hbscDFLT-x-x-und-hant	latn	dev3|dev2|deva
hbscDFLT-zh	latn	dev3|dev2|deva
hbscDFLT-zh-en-a	latn	dev3|dev2|deva
hbscDFLT-zh-hbscab-a-x	latn	dev3|dev2|deva
hbscDFLT-zh-x-64657632	latn	dev3|dev2|deva
hbscab	latn	dev3|dev2|deva
hbscab-64657632	latn	dev3|dev2|deva
hbscab-64657632-hbot-hbsclatn-hbsclatn	latn	dev3|dev2|deva
hbscab-64657632-hbot-x-hi-hbscDFLT	DFLT	DFLT
hbscab-64657632-hbotmar	latn	dev3|dev2|deva
hbscab-64657632-hbotmar-hbscDFLT-und	latn	dev3|dev2|deva
hbscab-64657632-hbotmar-x	latn	dev3|dev2|deva
hbscab-64657632-und	latn	dev3|dev2|deva
hbscab-a-hbscDFLT	latn	dev3|dev2|deva
hbscab-a-x-hbscDFLT-x	DFLT	DFLT
hbscab-en	latn	dev3|dev2|deva
hbscab-en-und-hbsclatn	latn	dev3|dev2|deva
hbscab-hant	latn	dev3|dev2|deva
hbscab-hant-a-hbsc-a-und	latn	dev3|dev2|deva
hbscab-hant-hbscab-hi-latn-a	latn	dev3|dev2|deva
hbscab-hant-und-a-a-hbscab	latn	dev3|dev2|deva
hbscab-hbot	latn	dev3|dev2|deva
hbscab-hbot-hbscDFLT	latn	dev3|dev2|deva
hbscab-hbot-latn	latn	dev3|dev2|deva
hbscab-hbot-u	latn	dev3|dev2|deva
hbscab-hbotmar	latn	dev3|dev2|deva
hbscab-hbotmar-64657632	latn	dev3|dev2|deva
hbscab-hbotmar-latn-latn-x	latn	dev3|dev2|deva
hbscab-hbsc-hbsc-64657632-en-zh	latn	dev3|dev2|deva
hbscab-hbsc-latn-hbot-hbsclatn	latn	dev3|dev2|deva
hbscab-hbsc-latn-hbsc	latn	dev3|dev2|deva
hbscab-hbscDFLT	latn	dev3|dev2|deva
hbscab-hbscDFLT-64657632-u	latn	dev3|dev2|deva
hbscab-hbscDFLT-hbot-hbscdev2-latn	latn	dev3|dev2|deva
hbscab-hbscDFLT-hbsc-a	latn	dev3|dev2|deva
hbscab-hbscDFLT-hi-a-u-latn	latn	dev3|dev2|deva
hbscab-hbscDFLT-latn	latn	dev3|dev2|deva
hbscab-hbscDFLT-latn-x-64657632-hbscab	ab  	ab  
hbscab-hbscDFLT-u-x	latn	dev3|dev2|deva
hbscab-hbscab-hbscab-hbsc-u	latn	dev3|dev2|deva
hbscab-hbscab-latn	latn	dev3|dev2|deva
hbscab-hbscab-u	latn	dev3|dev2|deva
hbscab-hbscdev2-64657632-latn-hbscab	latn	dev3|dev2|deva
hbscab-hbscdev2-x-hbot-hbscab-64657632	ab  	ab  
hbscab-hbsclatn	latn	dev3|dev2|deva
hbscab-hbsclatn-a-en-hbscdev2	latn	dev3|dev2|deva
hbscab-hbsclatn-hbot-hbscdev2-hant	latn	dev3|dev2|deva
hbscab-hbsclatn-hbscab-a	latn	dev3|dev2|deva
hbscab-hi	latn	dev3|dev2|deva
hbscab-hi-en-en-64657632	latn	dev3|dev2|deva
hbscab-hi-hbotmar-hbotmar-und	latn	dev3|dev2|deva
hbscab-hi-hbsc	latn	dev3|dev2|deva
hbscab-hi-hbsclatn-hbot-hi	latn	dev3|dev2|deva
